Pathway	Genes of pathway	Enzymes of pathway	Accession
?-alanine biosynthesis II	PP_2213 // acs // PP_3724 // prpE // PP_1412 // betA-I // PP_0596	acyl-CoA synthetase // acyl-CoA synthetase // acyl-CoA synthetase // propionyl-CoA synthetase // 3-hydroxyisobutyryl-CoA hydrolase // choline dehydrogenase // omega-amino acid--pyruvate aminotransferase	PP_2213 // PP_3458 // PP_3724 // PP_2351 // PP_1412 // PP_0056 // PP_0596
?-alanine degradation II	PP_0596 // mmsA-II // mmsA-I	omega-amino acid--pyruvate aminotransferase // methylmalonate-semialdehyde dehydrogenase // methylmalonate-semialdehyde dehydrogenase	PP_0596 // PP_4667 // PP_0597
(R,R)-butanediol biosynthesis	bdhA	2,3-butanediol dehydrogenase	PP_0552
(5Z)-dodecenoate biosynthesis I	PP_1852 // fabG // PP_2783 // PP_2503 // PP_2175 // PP_0581 // fabB // PP_3303 // fabF // PP_2781 // PP_2779 // fabZ // fabA	enoyl-ACP reductase // 3-oxoacyl-ACP reductase subunit // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP synthase // 3-oxoacyl-ACP synthase // beta-ketoacyl-ACP synthase II // beta-ketoacyl synthase // 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ // 3R-3-hydroxydecanoyl-ACP dehydratase	PP_1852 // PP_1914 // PP_2783 // PP_2503 // PP_2175 // PP_0581 // PP_4175 // PP_3303 // PP_1916 // PP_2781 // PP_2779 // PP_1602 // PP_4174
(Kdo)2-lipid A biosynthesis II (P.putida)	htrB // PP_0063	lipid A biosynthesis lauroyl acyltransferase // lipid A biosynthesis lauroyl acyltransferase	PP_1735 // PP_0063
(R,R)-butanediol degradation	bdhA	2,3-butanediol dehydrogenase	PP_0552
[2Fe-2S] iron-sulfur cluster biosynthesis	iscU // cyaY // hscB // dnaK // hscA // iscS-II // csdA // iscS-I	iron-sulfur cluster assembly scaffold protein // frataxin // DnaJ-like molecular chaperone // chaperone protein DnaK // DnaK-like molecular chaperone // cysteine desulfurase // cysteine desulfurase // cysteine desulfurase	PP_0843 // PP_5225 // PP_0845 // PP_4727 // PP_0846 // PP_2435 // PP_1529 // PP_0842
cis-vaccenate biosynthesis	tesA // PP_2781 // PP_2779 // fabF // PP_3303 // fabB // PP_0581 // PP_2175 // PP_2503 // PP_2783 // fabG // fabZ // fabA // PP_1852	acyl-CoA thioesterase I/protease I/lysophospholipase L1 // beta-ketoacyl synthase // beta-ketoacyl-ACP synthase II // 3-oxoacyl-ACP synthase // 3-oxoacyl-ACP synthase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase subunit // 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ // 3R-3-hydroxydecanoyl-ACP dehydratase // enoyl-ACP reductase	PP_2318 // PP_2781 // PP_2779 // PP_1916 // PP_3303 // PP_4175 // PP_0581 // PP_2175 // PP_2503 // PP_2783 // PP_1914 // PP_1602 // PP_4174 // PP_1852
D-glucarate degradation I	glxR // gudD // garK	2-hydroxy-3-oxopropionate reductase // bifunctional D-glucarate dehydratase/L-idarate epimerase // glycerate kinase	PP_4299 // PP_4757 // PP_3178
myo-inositol biosynthesis	suhB // PP_3157	bifunctional inositol monophosphatase/glycerol-2-phosphatase // inositol monophosphatase family protein	PP_0838 // PP_3157
N10-formyl-tetrahydrofolate biosynthesis	folA // folM // fau // metF // PP_4638 // metH // gcvT-II // gcvH-II // gcvH-I // gcvT-I // gcvP-I // gcvP-II // lpdG // folD-II // folD-I // glyA-II // glyA-I // thyA	dihydrofolate reductase // bifunctional dihydrofolate reductase/dihydromonapterin reductase // 5-formyltetrahydrofolate cyclo-ligase // 5,10-methylenetetrahydrofolate reductase // methylenetetrahydrofolate reductase // cobalamin-dependent methionine synthase // glycine cleavage system // bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase // bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase // serine hydroxymethyltransferase // serine hydroxymethyltransferase // thymidylate synthase	PP_5132 // PP_4632 // PP_5203 // PP_4977 // PP_4638 // PP_2375 // PP_5194 // PP_5193 // PP_0989 // PP_0986 // PP_0988 // PP_5192 // PP_4187 // PP_2265 // PP_1945 // PP_0671 // PP_0322 // PP_5141
O-antigen building blocks biosynthesis (E. coli)	rmlC1 // rmlC2 // rmlD // rmlA // rmlB // glmU // glmS // glmM // pgi-2 // pgi-1	dTDP-4-dehydrorhamnose 3,5-epimerase // dTDP-4-dehydrorhamnose 3,5-epimerase // dTDP-4-dehydrorhamnose reductase // dTDP-glucose pyrophosphorylase // dTDP-glucose 4,6-dehydratase // bifunctional N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase // L-glutamine/D-fructose-6-phosphate aminotransferase // phosphoglucosamine mutase // glucose 6-phosphate isomerase // glucose 6-phosphate isomerase	PP_1782 // PP_0265 // PP_1784 // PP_1783 // PP_1785 // PP_5411 // PP_5409 // PP_4716 // PP_4701 // PP_1808
S-adenosyl-L-methionine cycle II	metK // ahcY // metH // PP_4637 // metE	methionine adenosyltransferase // adenosylhomocysteinase // cobalamin-dependent methionine synthase // 5-methyltetrahydropteroyltriglutamate- homocysteine S-methyltransferase family protein // 5-methyltetrahydropteroyltriglutamate- homocysteine methyltransferase	PP_4967 // PP_4976 // PP_2375 // PP_4637 // PP_2698
trans, trans-farnesyl diphosphate biosynthesis	ispA	farnesyl diphosphate synthase	PP_0528
trans-4-hydroxy-L-proline degradation II	lhpC // proR // lhpB // PP_2585 // PP_3602 // lhpG	"&Delta;<sup>1</sup>-pyrroline-4-hydroxy-2-carboxylate deaminase // hydroxyproline 2-epimerase // D-hydroxyproline dehydrogenase // alpha-ketoglutaric semialdehyde dehydrogenase // 2,5-dioxovalerate dehydrogenase // &alpha;-ketoglutaric semialdehyde dehydrogenase (4-hydroxy-L-proline-induced isozyme)"	PP_1257 // PP_1258 // PP_1255 // PP_2585 // PP_3602 // PP_1256
trans-caffeate degradation (aerobic)	vdh	vanillin dehydrogenase	PP_3357
