"name"	"ID"	"Ac_vs_LB_p.val"	"Glc_vs_Ac_p.val"	"Glc_vs_LB_p.val"	"Ac_vs_LB_p.adj"	"Glc_vs_Ac_p.adj"	"Glc_vs_LB_p.adj"	"imputed"	"Ac_vs_LB_significant"	"Glc_vs_Ac_significant"	"Glc_vs_LB_significant"	"significant"	"Ac_vs_LB_log2fc"	"Glc_vs_Ac_log2fc"	"Glc_vs_LB_log2fc"	"Ac_centered"	"Glc_centered"	"LB_centered"
"aapJ"	"PP_1297"	0.118045387057611	1.19518658981612e-05	4.7521936404041e-05	0.879	0.000984	0.00259	FALSE	FALSE	TRUE	TRUE	TRUE	-0.536	3.03	2.49	-1.19	1.84	-0.651
"aapP"	"PP_1300"	0.000154369851038591	8.27525487099078e-07	9.18598534376923e-05	0.216	1.21e-07	0.00834	FALSE	FALSE	TRUE	TRUE	TRUE	-2.22	4.61	2.39	-2.27	2.33	-0.0588
"accC-2"	"PP_5347"	0.00250668773412168	6.77909109887364e-07	9.26529599661962e-06	0.647	4.94e-08	5.55e-05	FALSE	FALSE	TRUE	TRUE	TRUE	-0.851	2.84	1.99	-1.23	1.61	-0.379
"aceA"	"PP_4116"	1.55455425625469e-08	1.21816909746629e-08	0.451878369228743	1.52e-13	5.38e-14	0.879	FALSE	TRUE	TRUE	FALSE	TRUE	4.6	-4.75	-0.15	3.12	-1.63	-1.48
"aceE"	"PP_0339"	7.2350120127808e-06	1.4780473425335e-06	0.0336811843116288	0.00783	1.47e-06	0.703	FALSE	TRUE	TRUE	FALSE	TRUE	-2.21	2.75	0.537	-1.66	1.1	0.559
"aceF"	"PP_0338"	1.77952623063831e-05	1.31006428106014e-06	0.00400112138999054	0.0275	9.07e-07	0.384	FALSE	TRUE	TRUE	FALSE	TRUE	-1.78	2.55	0.768	-1.44	1.11	0.338
"acsA"	"PP_4487"	8.71096554761578e-06	0.00022634940254123	0.00504634979897871	0.0105	0.0895	0.426	FALSE	TRUE	FALSE	FALSE	TRUE	2.3	-1.44	0.859	1.24	-0.193	-1.05
"add"	"PP_0591"	0.00782976225562214	0.0224781708011924	0.000245488699010635	0.752	0.783	0.0338	FALSE	FALSE	FALSE	TRUE	TRUE	-0.852	-0.68	-1.53	-0.0573	-0.737	0.794
"ahpC"	"PP_2439"	0.000111100331098824	0.00429550413164704	4.93761582862427e-06	0.168	0.589	7.18e-06	FALSE	FALSE	FALSE	TRUE	TRUE	-0.737	-0.408	-1.14	-0.11	-0.518	0.627
"ahpF"	"PP_2440"	7.80731002580119e-06	0.0220379201131857	7.3345799617086e-05	0.00884	0.781	0.00569	FALSE	TRUE	FALSE	FALSE	TRUE	-1.22	0.33	-0.886	-0.515	-0.185	0.7
